iter	Logloss
0	0.6005185644
1	0.5567317904
2	0.5290160687
3	0.5103117814
4	0.4936670023
5	0.4804472636
6	0.4683513991
7	0.4561247564
8	0.4460716793
9	0.4367600244
10	0.4270225367
11	0.4202924515
12	0.4141472454
13	0.4086591573
14	0.4024594413
15	0.3977949534
16	0.3932913535
17	0.3890929242
18	0.3850762051
19	0.3805155944
20	0.3764943456
21	0.3721255689
22	0.368062109
23	0.3640184067
24	0.3600337993
25	0.3565064605
26	0.3529294877
27	0.3492671808
28	0.3459183973
29	0.342692528
30	0.3396616372
31	0.3369491508
32	0.3339347512
33	0.3309261997
34	0.3279011211
35	0.3253683057
36	0.322420211
37	0.3195267878
38	0.3172030979
39	0.3151583881
40	0.3130200774
41	0.3106136941
