iter	Passed	Remaining
0	650	26667
1	1263	25272
2	1875	24377
3	2470	23466
4	3047	22549
5	3657	21946
6	4257	21287
7	4835	20549
8	5402	19810
9	5971	19109
10	6560	18487
11	7144	17861
12	7714	17208
13	8290	16580
14	8858	15945
15	9421	15309
16	10004	14712
17	10572	14096
18	11129	13472
19	11764	12941
20	12345	12345
21	12960	11781
22	13517	11166
23	14092	10569
24	14662	9970
25	15247	9382
26	15817	8787
27	16414	8207
28	16985	7614
29	17576	7030
30	18158	6443
31	18726	5851
32	19292	5261
33	19857	4672
34	20469	4093
35	21033	3505
36	21594	2918
37	22162	2332
38	22785	1752
39	23352	1167
40	23936	583
41	24497	0
